token,ascii,count,chapters,sources,contexts
bhakti,bhakti,7,"7,9,18",sample_sanskrit,yathā jñāsyasi tac chṛṇu yoga bhakti jñāna | tānāṁ yoga-kṣemaṁ vahāmy aham bhakti yoga kṣema | yaṁ te pratijāne priyo 'si me bhakti namaskāra priya satya | ṅgāra bhoga rāga-mārga vaidhi-bhakti rāgānugā-bhakti prema bhāva r | ṅgāra bhoga rāga-mārga vaidhi-bhakti rāgānugā-bhakti prema bhāva r
dharma,dharma,4,"1,2,4,18",sample_sanskrit,ṣṭra Sañjaya Pāṇḍu Kurukṣetra dharma-kṣetre kuru-kṣetre samavetā y | aṅgo 'stv akarmaṇi karma yoga dharma | yadā yadā hi dharmasya glānir bhavati bhārata abh | āmi mā śucaḥ śaraṇāgati mokṣa dharma pāpa
mā,ma,4,"2,18",sample_sanskrit,karmaṇy evādhikāras te mā phaleṣu kadācana mā karma-pha | karmaṇy evādhikāras te mā phaleṣu kadācana mā karma-pha | karmaṇy evādhikāras te mā phaleṣu kadācana mā karma-pha | sarva-dharmān parityajya mām ekaṁ śaraṇaṁ
yoga,yoga,4,"2,7,9",sample_sanskrit,te saṅgo 'stv akarmaṇi karma yoga dharma | vāca mayy āsakta-manāḥ pārtha yogaṁ yuñjan mad-āśrayaḥ asaṁśayaṁ | pāsate teṣāṁ nityābhiyuktānāṁ yoga-kṣemaṁ vahāmy aham bhakti yog | pāsate teṣāṁ nityābhiyuktānāṁ yoga-kṣemaṁ vahāmy aham bhakti yog
mad,mad,3,"7,18",sample_sanskrit,kta-manāḥ pārtha yogaṁ yuñjan mad-āśrayaḥ asaṁśayaṁ samagraṁ mā | man-manā bhava mad-bhakto mad-yājī māṁ namaskuru | man-manā bhava mad-bhakto mad-yājī māṁ namaskuru
māṁ,mam,3,"7,9,18",sample_sanskrit,ad-āśrayaḥ asaṁśayaṁ samagraṁ māṁ yathā jñāsyasi tac chṛṇu yoga | ananyāś cintayanto māṁ ye janāḥ paryupāsate teṣāṁ ni | anā bhava mad-bhakto mad-yājī māṁ namaskuru mām evaiṣyasi satya
jīva,jiva,3,15,sample_sanskrit,mamaivāṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ ma | mamaivāṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ ma | mamaivāṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ ma
Sañjaya,sanjaya,2,"1,2",sample_sanskrit,Dhṛtarāṣṭra Sañjaya Pāṇḍu Kurukṣetra dharma-kṣetr | Sañjaya Arjuna kṛpayā paripūrṇa aśru-
kṣetre,ksetre,2,1,sample_sanskrit,ñjaya Pāṇḍu Kurukṣetra dharma-kṣetre kuru-kṣetre samavetā yuyutsav | ñjaya Pāṇḍu Kurukṣetra dharma-kṣetre kuru-kṣetre samavetā yuyutsav
uvāca,uvaca,2,"2,7",sample_sanskrit,īkṣaṇa viṣīdantam idaṁ vākyam uvāca Madhusūdana | Śrī Bhagavān uvāca mayy āsakta-manāḥ pārtha yoga
karma,karma,2,2,sample_sanskrit,karmaṇy evādhikāras te mā phaleṣu k | karmaṇy evādhikāras te mā phaleṣu k
yadā,yada,2,4,sample_sanskrit,yadā yadā hi dharmasya glānir bhav | yadā yadā hi dharmasya glānir bhav
prakṛti,prakrti,2,15,sample_sanskrit,ātanaḥ manaḥ-ṣaṣṭhānīndriyāṇi prakṛti-sthāni karṣati jīva ātman pra | ātanaḥ manaḥ-ṣaṣṭhānīndriyāṇi prakṛti-sthāni karṣati jīva ātman pra
mām,mam,2,18,sample_sanskrit,bhakto mad-yājī māṁ namaskuru mām evaiṣyasi satyaṁ te pratijāne | sarva-dharmān parityajya mām ekaṁ śaraṇaṁ vraja ahaṁ tvāṁ
sarva,sarva,2,18,sample_sanskrit,sarva-dharmān parityajya mām ekaṁ ś | sarva-dharmān parityajya mām ekaṁ ś
ārati,arati,2,,sample_sanskrit,ā sādhu saṅga kīrtana bhajana ārati maṅgala-ārati prasādam mahā-p | ā sādhu saṅga kīrtana bhajana ārati maṅgala-ārati prasādam mahā-p
prasādam,prasadam,2,,sample_sanskrit,a bhajana ārati maṅgala-ārati prasādam mahā-prasādam ekādaśī parikra | a bhajana ārati maṅgala-ārati prasādam mahā-prasādam ekādaśī parikra
prema,prema,2,,sample_sanskrit,vaidhi-bhakti rāgānugā-bhakti prema bhāva rati āsakti bhāva-bhakt | vaidhi-bhakti rāgānugā-bhakti prema bhāva rati āsakti bhāva-bhakt
