token,ascii,count,chapters,sources,contexts
Ashram,ashram,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,Ananta Arjuna Ashram Balarāma Bhagavad Bhakti Bhīm | Arjuna Ashram Balarāma Bhagavad Bhakti Chan | Arjuna Ashram Balarāma Bhagavad Bhakti Bhār | Arjuna Ashram Balarāma Bhagavad Bhakti Bhār | Arjuna Ashram Balarāma Bhagavad Bhakti Brah
Balarāma,balarama,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,Ananta Arjuna Ashram Balarāma Bhagavad Bhakti Bhīma Cekitān | Arjuna Ashram Balarāma Bhagavad Bhakti Chandra Dasa | Arjuna Ashram Balarāma Bhagavad Bhakti Bhāratas Chan | Arjuna Ashram Balarāma Bhagavad Bhakti Bhārata Brahm | Arjuna Ashram Balarāma Bhagavad Bhakti Brahman Chand
Bhagavad,bhagavad,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,Ananta Arjuna Ashram Balarāma Bhagavad Bhakti Bhīma Cekitāna Chandra | Arjuna Ashram Balarāma Bhagavad Bhakti Chandra Dasa Devi Dhan | Arjuna Ashram Balarāma Bhagavad Bhakti Bhāratas Chandra Dasa | Arjuna Ashram Balarāma Bhagavad Bhakti Bhārata Brahman Chandr | Arjuna Ashram Balarāma Bhagavad Bhakti Brahman Chandra Dasa D
Bhakti,bhakti,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,juna Ashram Balarāma Bhagavad Bhakti Bhīma Cekitāna Chandra Dasa D | juna Ashram Balarāma Bhagavad Bhakti Chandra Dasa Devi Dhanañjaya | juna Ashram Balarāma Bhagavad Bhakti Bhāratas Chandra Dasa Devi Dh | juna Ashram Balarāma Bhagavad Bhakti Bhārata Brahman Chandra Dasa | juna Ashram Balarāma Bhagavad Bhakti Brahman Chandra Dasa Devi Dha
Chandra,chandra,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,hagavad Bhakti Bhīma Cekitāna Chandra Dasa Devi Dharma Draupadī Dro | hram Balarāma Bhagavad Bhakti Chandra Dasa Devi Dhanañjaya Dharma D | rāma Bhagavad Bhakti Bhāratas Chandra Dasa Devi Dharma Dāsa Ganga G | agavad Bhakti Bhārata Brahman Chandra Dasa Devi Dharma Dāsa Ganga G | arāma Bhagavad Bhakti Brahman Chandra Dasa Devi Dharma Dāsa Ganga G
Dasa,dasa,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,Bhakti Bhīma Cekitāna Chandra Dasa Devi Dharma Draupadī Droṇa Du | arāma Bhagavad Bhakti Chandra Dasa Devi Dhanañjaya Dharma Droṇa | gavad Bhakti Bhāratas Chandra Dasa Devi Dharma Dāsa Ganga Gita J | hakti Bhārata Brahman Chandra Dasa Devi Dharma Dāsa Ganga Gita K | agavad Bhakti Brahman Chandra Dasa Devi Dharma Dāsa Ganga Gita K
Devi,devi,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,i Bhīma Cekitāna Chandra Dasa Devi Dharma Draupadī Droṇa Duryodh | Bhagavad Bhakti Chandra Dasa Devi Dhanañjaya Dharma Droṇa Dāsa | Bhakti Bhāratas Chandra Dasa Devi Dharma Dāsa Ganga Gita Janārd | Bhārata Brahman Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishn | d Bhakti Brahman Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishn
Dharma,dharma,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,ma Cekitāna Chandra Dasa Devi Dharma Draupadī Droṇa Duryodhana Dās | Chandra Dasa Devi Dhanañjaya Dharma Droṇa Dāsa Ganga Gita Govinda | ti Bhāratas Chandra Dasa Devi Dharma Dāsa Ganga Gita Janārdana Keś | ata Brahman Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna | kti Brahman Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna
Dāsa,dasa,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,rma Draupadī Droṇa Duryodhana Dāsa Ganga Gita Govinda Hanumān Ja | Devi Dhanañjaya Dharma Droṇa Dāsa Ganga Gita Govinda Krishna Kr | atas Chandra Dasa Devi Dharma Dāsa Ganga Gita Janārdana Keśava K | hman Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna Mant | hman Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna Kunt
Ganga,ganga,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,raupadī Droṇa Duryodhana Dāsa Ganga Gita Govinda Hanumān Janārdan | Dhanañjaya Dharma Droṇa Dāsa Ganga Gita Govinda Krishna Krsna Ku | Chandra Dasa Devi Dharma Dāsa Ganga Gita Janārdana Keśava Krishna | Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna Mantra Pra | Chandra Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna Kuntī Mant
Gita,gita,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,ī Droṇa Duryodhana Dāsa Ganga Gita Govinda Hanumān Janārdana Kar | ñjaya Dharma Droṇa Dāsa Ganga Gita Govinda Krishna Krsna Kuntī M | a Dasa Devi Dharma Dāsa Ganga Gita Janārdana Keśava Krishna Krsn | a Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna Mantra Prabhupā | a Dasa Devi Dharma Dāsa Ganga Gita Krishna Krsna Kuntī Mantra Pr
Krishna,krishna,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",vedabase_sanskrit,vinda Hanumān Janārdana Karṇa Krishna Krsna Kuntī Kurukṣetra Kurukṣ | Droṇa Dāsa Ganga Gita Govinda Krishna Krsna Kuntī Madhusūdana Mantr | a Ganga Gita Janārdana Keśava Krishna Krsna Kuntī Mantra Prabhupāda | a Devi Dharma Dāsa Ganga Gita Krishna Krsna Mantra Prabhupāda Rishi | a Devi Dharma Dāsa Ganga Gita Krishna Krsna Kuntī Mantra Prabhupāda
